Code,Name
FLG,Flagstaff Pulliam Airport
FLO,Florence Regional Airport
MTH,Florida Keys Marathon Airport
GFL,Floyd Bennett Memorial Airport
FOE,Forbes Field Airport
FNL,Fort Collins-Loveland Municipal Airport
FOD,Fort Dodge Regional Airport
FLL,Fort Lauderdale Hollywood International Airport
FSM,Fort Smith Airport
VPS,Fort Walton Beach Airport
FWA,Fort Wayne International Airport
FTW,Fort Worth Meacham International Airport
FYU,Fort Yukon Airport
FMN,Four Corners Regional Airport
FAT,Fresno Air Terminal
FHR,Friday Harbor Airport
SUN,Friedman Memorial Airport
GNV,Gainesville Regional Airport
GBH,Galbraith Lake Airport
GUP,Gallup Municipal Airport
GLS,Galveston/Scholes International Airport
GAM,Gambell Airport
GCK,Garden City Regional Airport
GYY,Gary Regional Airport
GLR,Gaylord Regional Airport
MKE,General Mitchell International Airport
GRR,Gerald R. Ford International Airport
GCC,Gillette-Campbell County Airport
GPI,Glacier Park International Airport
IWD,Gogebic-Iron County Airport
GTR,Golden Triangle Regional Airport
N93,Golovin Airport
GLD,Goodland Municipal Airport
GCN,Grand Canyon National Park Airport
1G4,Grand Canyon West Airport
GFK,Grand Forks International Airport
GPZ,Grand Rapids/Itasca County Airport
SVC,Grant County Airport
MWH,Grant County International Airport
GBD,Great Bend Municipal Airport
GTF,Great Falls International Airport
BGM,Greater Binghamton Airport
ROC,Greater Rochester International Airport
RFD,Greater Rockford Airport
LWB,Greenbrier Valley Airport
GSP,Greenville / Spartanburg Airport
RME,Griffiss Airpark
GON,Groton-New London Airport
GUM,Guam International Airport
GPT,Gulfport-Biloxi International Airport
GKN,Gulkana Airport
GUC,Gunnison-Crested Butte Regional Airport
GST,Gustavus Airport
HGR,Hagerstown Regional Airport
HNS,Haines Airport
HNM,Hana Airport
BHB,Hancock County-Bar Harbor Airport
MDT,Harrisburg International Airport
CKB,Harrison/Marion Regional Airport
HFD,Hartford-Brainard Airport
PIB,Hattiesburg-Laurel Regional Airport
HKS,Hawkins Field Airport
HYS,Hays Regional Airport
FAR,Hector International Airport
HLN,Helena Regional Airport
HND,Henderson Executive Airport
MDY,Henderson Field Airport
STX,Henry E Rohlsen Airport
HKY,Hickory Regional Airport
ITO,Hilo International Airport
HXD,Hilton Head Airport
HOU,Hobby Airport
HYL,Hollis Seaplane Base
HOM,Homer Airport
HNL,Honolulu International Airport
HNH,Hoonah Airport
HPB,Hooper Bay Airport
CMX,Houghton County Memorial Airport
HSV,Huntsville International Airport
HON,Huron Regional Airport
HLA,Huslia Airport
HSL,Huslia Airport
HUT,Hutchinson Municipal Airport
IDA,Idaho Falls Regional Airport
BDR,Igor I Sikorsky Memorial Airport
