"Airport","1987","2008","Name"
"ABQ",0.596497018848925,0.586970161173204,"Albuquerque International Sunport"
"ATL",5.07277835352339,5.91345510509255,"Atlanta International Airport"
"AUS",0.544737085839542,0.708016261976574,"Austin-Bergstrom International Airport"
"BDL",0.581289203480188,0.420087746653721,"Bradley International Airport"
"BNA",1.01804698871916,0.82088087323242,"Nashville International Airport"
"BOS",1.91740441087629,1.68236961045268,"Boston Logan International Airport"
"BUF",0.525146065539967,0.374893398115704,"Buffalo Niagara International Airport"
"BWI",1.23644493875138,1.48466573443812,"Baltimore / Washington International Airport"
"CLE",1.03439824885246,0.938603021002533,"Cleveland Hopkins International Airport"
"CLT",1.87456334703053,1.79803746965288,"Charlotte/Douglas International Airport"
"CMH",0.511729646969052,0.48723730428265,"Port Columbus International Airport"
"CVG",1.17767187785266,1.30254734635847,"Cincinnati / Northern Kentucky International Airport"
"DAL",0.688048829665226,0.769352468270514,"Dallas Love Field"
"DAY",0.704209515671101,0.225229916262062,"Dayton International Airport"
"DCA",1.67686174723696,1.23637500238954,"Ronald Reagan Washington National Airport"
"DEN",3.34114560206369,3.44459255611418,"Denver International Airport"
"DFW",3.97575744639817,4.01358055935425,"Dallas/Fort Worth International Airport"
"DTW",2.13443022719104,2.31099617873794,"Detroit Metro Airport"
"EWR",2.36498680655316,1.97580476041432,"Newark Liberty International Airport"
"FLL",0.786613768370869,0.958354149648645,"Fort Lauderdale Hollywood International Airport"
"HNL",0.287995621368848,0.802798854049359,"Honolulu International Airport"
"HOU",1.08764466005578,0.797941317535093,"Hobby Airport"
"IAD",1.11611643469349,1.08458590250175,"Washington Dulles International Airport"
"IAH",1.65403096677111,2.64155831483285,"Bush Intercontinental Airport"
"IND",0.667924201808853,0.609738526156372,"Indianapolis International Airport"
"JFK",0.93724355868978,1.69483086785418,"John F. Kennedy International Airport"
"LAS",1.46315192073946,2.46619482701606,"Mccarran International Airport"
"LAX",3.47771102177843,3.07638986174353,"Los Angeles International Airport"
"LGA",2.17452702360184,1.69943875124363,"La Guardia Airport"
"MCI",0.981075607998167,0.846901861784612,"Kansas City International Airport"
"MCO",1.31347500105769,1.86691320031625,"Orlando International Airport"
"MDW",0.34653999331466,1.24982773934388,"Chicago Midway Airport"
"MEM",1.48350523754874,1.1550166154854,"Memphis Airport"
"MIA",1.36188082942434,0.892624048357953,"Miami International Airport"
"MKE",0.327863728826738,0.609060896246159,"General Mitchell International Airport"
"MSP",1.78030538360476,1.85891003442931,"Minneapolis/St. Paul International Airport"
"MSY",0.768051848359404,0.562397160744942,"New Orleans International Airport"
"OAK",0.639414312345659,0.892103343269052,"Oakland International Airport"
"ONT",0.612810164156742,0.500418989272905,"Ontario International Airport"
"ORD",5.14725472252216,4.99899710773288,"Chicago O'hare International Airport"
"ORF",0.543974789329831,0.234766665630012,"Norfolk International Airport"
"PDX",0.764049791683421,0.825410294211214,"Portland International Airport"
"PHL",1.56438489722909,1.43359383804731,"Philadelphia International Airport"
"PHX",2.29001494482307,2.84479022432546,"Phoenix Sky Harbor International Airport"
"PIT",2.21298488251677,0.596250124469915,"Pittsburgh International Airport"
"RDU",1.17126858717108,0.858557096240281,"Raleigh-Durham International Airport"
"SAN",1.12461604077676,1.33760577802898,"San Diego International Airport"
"SAT",0.618870421408945,0.645745639701181,"San Antonio International Airport"
"SEA",1.32864470160094,1.55600946456395,"Seattle/Tacoma International Airport"
"SFO",2.67196361101381,2.00554201405305,"San Francisco International Airport"
"SJC",0.879880746334021,0.815145984308088,"San Jose International Airport"
"SLC",1.2582847337546,1.98413604183673,"Salt Lake City International Airport"
"SMF",0.521868190548209,0.75684128024405,"Sacramento International Airport"
"SNA",0.557124404122347,0.675860939500346,"John Wayne Airport"
"STL",2.46934519873261,0.894985053624065,"Lambert-St. Louis International Airport"
"SYR",0.636479470783271,0.17167575451594,"Syracuse Hancock International Airport"
"TPA",1.16082512498804,1.11523617328266,"Tampa International Airport"
